Time,Trader,Unit,Max,Earns,Bid/Ask,Offer,Strategy,Period,Round
0.23802,t18,0,250,0,ask,214.0,Trader_AA,1,9
0.23813,t10,0,75,0,bid,155.0,Trader_AA,1,9
0.23826,t8,0,125,0,bid,172.0,Trader_AA,1,9
0.23865,t20,0,300,0,ask,231.0,Trader_AA,1,9
0.23883,t5,0,200,0,bid,197.0,Trader_AA,1,9,"Contract:(196.0, 't5', 't12', 0.23883)"
0.23908,t6,0,175,0,bid,58.0,Trader_AA,1,9
0.24892,t4,0,225,0,bid,75.0,Trader_AA,2,0
0.24904,t20,0,300,0,ask,367.0,Trader_AA,2,0
0.24914,t10,0,75,0,bid,75.0,Trader_AA,2,0
0.24925,t8,0,125,0,bid,92.0,Trader_AA,2,0
0.24935,t14,0,150,0,ask,295.0,Trader_AA,2,0
0.24946,t17,0,225,0,ask,272.0,Trader_AA,2,0
0.24958,t16,0,200,0,ask,248.0,Trader_AA,2,0
0.24969,t0,0,325,0,bid,146.0,Trader_AA,2,0
0.24979,t6,0,175,0,bid,156.0,Trader_AA,2,0
0.2499,t9,0,100,0,bid,137.0,Trader_AA,2,0
0.25,t2,0,275,0,bid,188.0,Trader_AA,2,0
0.2501,t15,0,175,0,ask,227.0,Trader_AA,2,0
0.25027,t21,0,325,0,ask,260.0,Trader_AA,2,0
0.25037,t13,0,125,0,ask,213.0,Trader_AA,2,0
0.25048,t19,0,275,0,ask,234.0,Trader_AA,2,0
0.25059,t18,0,250,0,ask,225.0,Trader_AA,2,0
0.25069,t11,0,75,0,ask,203.0,Trader_AA,2,0
0.2509,t12,0,100,0,ask,197.0,Trader_AA,2,0
0.251,t3,0,250,0,bid,192.0,Trader_AA,2,0
0.2511,t7,0,150,0,bid,178.0,Trader_AA,2,0
0.25121,t1,0,300,0,bid,195.0,Trader_AA,2,0
0.25133,t5,0,200,0,bid,197.0,Trader_AA,2,0
0.25146,t13,0,125,0,ask,196.0,Trader_AA,2,1,"Contract:(197.0, 't5', 't13', 0.25146)"
0.25159,t19,0,275,0,ask,358.0,Trader_AA,2,1
0.25169,t1,0,300,0,bid,100.0,Trader_AA,2,1
0.25192,t3,0,250,0,bid,150.0,Trader_AA,2,1
0.25202,t0,0,325,0,bid,208.0,Trader_AA,2,1
0.25212,t15,0,175,0,ask,307.0,Trader_AA,2,1
0.25223,t11,0,75,0,ask,273.0,Trader_AA,2,1
0.25236,t18,0,250,0,ask,265.0,Trader_AA,2,1
0.25247,t14,0,150,0,ask,245.0,Trader_AA,2,1
0.25257,t20,0,300,0,ask,263.0,Trader_AA,2,1
0.25267,t21,0,325,0,ask,272.0,Trader_AA,2,1
0.25278,t8,0,125,0,bid,180.0,Trader_AA,2,1
